,Feature,Coeff
57,n_companies_WATER TREATMENT AND DISTRIBUTION,2.0427615927461553e-06
51,n_companies_NON-METALLIC MINERAL PRODUCTS,2.0051432091008605e-06
58,n_companies_RETAIL,1.9318284455562487e-06
101,n_jobs_MINING,1.8889412237519365e-06
148,expen_prom_ani_pro,1.878546440200561e-06
55,n_companies_TRANSPORTATION,1.6941762363156197e-06
158,emiss_agr_full,1.682789392717121e-06
42,n_companies_EDITING AND PRINTING,1.333338519067293e-06
140,assassination,1.3041654989396875e-06
86,n_jobs_WHOLESALE,1.251273770381395e-06
88,n_jobs_AUTOMOBILES AND TRANSPORT,1.2177916943847062e-06
163,overall_winner_complete_college,1.1633850785026508e-06
173,overall_winner_partido_PT,1.1430963375951335e-06
20,copper,1.1120796290088295e-06
9,mun_election_year,1.0759272461816489e-06
84,n_jobs_ACCOMODATION AND FOOD,1.013478974864836e-06
44,n_companies_ELECTRICITY AND GAS,9.740022879140123e-07
64,n_companies_CLOTHING,9.733225232215234e-07
160,incumbant,9.511268862375849e-07
70,n_companies_WATER-BASED TRANSPORTATION,9.0534121562125e-07
77,n_companies_AERO TRANSPORT,7.847849892971257e-07
19,silver,7.642123481483994e-07
100,n_jobs_BASIC METALLURGY,7.542208307107019e-07
72,n_companies_RECYCLING,7.372613453985038e-07
90,n_jobs_TRADE REP VEHICLES,7.344547384468393e-07
153,illegal_mining,7.250476459202924e-07
180,runnerup_partido_PMDB_MDB,7.241261023544577e-07
65,n_companies_PAPER,7.177874971071976e-07
131,n_jobs_PETROLEUM REFINING,6.986502804300344e-07
168,overall_winner_corporate_job,6.978585909313119e-07
49,n_companies_MINING,6.495550902320784e-07
0,year,6.024930848317609e-07
174,overall_winner_partido_PMDB_MDB,5.830795119106614e-07
166,overall_winner_public_service_job,5.817148872496857e-07
119,n_jobs_OIL AND GAS,5.523112525896927e-07
117,n_jobs_PAPER,5.489560614858398e-07
161,term_limited_seat,5.06019158685875e-07
178,overall_winner_partido_other,4.902136206295721e-07
179,runnerup_partido_PT,4.6761404088598506e-07
94,n_jobs_EDITING AND PRINTING,4.6743264257988987e-07
170,overall_winner_technical_job,4.4018992807367e-07
12,dilma,4.397648912070024e-07
78,n_companies_SMOKE,4.2422499676437904e-07
91,n_jobs_CONSTRUCTION,3.851214067229004e-07
145,expen_agr_org,3.2995408854669954e-07
67,n_companies_OIL AND GAS,2.5948179781176736e-07
8,indigenous_homol,2.410508211158106e-07
188,savanna,1.8332924523398e-07
107,n_jobs_TRANSPORTATION,1.768454231963577e-07
184,runnerup_partido_other,1.5410023625599018e-07
79,n_companies_PETROLEUM REFINING,1.351807576924453e-07
74,n_companies_RUBBER AND PLASTIC,1.2570431665917418e-07
96,n_jobs_ELECTRICITY AND GAS,1.2563261554195643e-07
175,overall_winner_partido_PSDB,8.332086164943171e-08
36,n_companies_AUTOMOBILES AND TRANSPORT,2.131720656780617e-08
149,expen_prom_veg_pro,5.023891801442474e-09
190,silvicultura,0.0
11,lula,0.0
10,new_forest_code,0.0
80,n_companies_,0.0
162,special,0.0
14,bolsonaro,0.0
192,sugarcane,0.0
194,urban,0.0
195,mining,0.0
198,rice,0.0
200,coffee,0.0
201,citrus,0.0
13,temer,0.0
97,n_jobs_FINANCES,0.0
189,mangrove,0.0
202,other_perennial,0.0
183,runnerup_partido_PL,0.0
132,n_jobs_,0.0
141,assassination_attempt,0.0
146,expen_mining,0.0
147,expen_petrol,0.0
177,overall_winner_partido_PL,0.0
150,expen_other_agr,0.0
151,expen_agr_defense,0.0
172,overall_winner_mining_job,0.0
152,expen_min_fuel,0.0
169,overall_winner_law_job,0.0
154,illegal_other,0.0
