,Feature,Coeff
128,n_companies_FORESTRY,0.0009851678312846064
129,n_jobs_RECYCLING,0.000976762250187079
130,n_jobs_MACHINERY,0.0009566946576692862
131,n_jobs_ELECTRICITY AND GAS,0.0009384714428383928
132,overall_winner_partido_other,0.0009381551903478216
133,overall_winner_law_job,0.0009263815224146063
134,n_companies_OIL AND GAS,0.0009147421312852289
135,n_jobs_CLOTHING,0.0009102581017143618
136,n_companies_BASIC METALLURGY,0.0009080366001125374
137,fed_election_year,0.0008869173312004967
138,n_jobs_ASSOCIATIVE ACTIVITIES,0.0008635348608498858
139,n_companies_MINING,0.0008579126460043588
140,populacao,0.0008552646408116889
141,n_jobs_SMOKE,0.0008446619341487451
142,overall_winner_technical_job,0.0008086861946173539
143,water,0.0008033671488851896
144,n_jobs_AERO TRANSPORT,0.0007960834670755183
145,PIB,0.0007891637113055933
146,overall_winner_feminino,0.000781100597095133
147,n_jobs_METALLIC PRODUCTS,0.0007551400945109874
148,n_companies_REAL ESTATE,0.0007525318195926435
149,n_companies_COMPUTING,0.0007416064729437931
150,year,0.0007206663988845073
151,n_jobs_CHEMICALS,0.0006545793212721271
152,n_jobs_BASIC METALLURGY,0.0006540813765847614
153,n_companies_CULTURE AND SPORT,0.000653653017729829
154,n_companies_TOTAL INDUSTRIAL,0.0006402527454236232
155,n_jobs_INTERNATIONAL BODIES,0.000621194506055922
156,near_hidrovia,0.0005978697135571559
157,mun_election_year,0.0005893012130869485
158,n_companies_PAPER,0.0005753310742728321
159,n_jobs_CONSTRUCTION,0.0004937541334239625
160,n_companies_PETROLEUM REFINING,0.0004834232611544353
161,overall_winner_public_service_job,0.0004612013783136128
162,n_jobs_FINANCES,0.0004562229946817764
163,n_jobs_TOTAL INDUSTRIAL,0.00045269743902507373
164,n_jobs_COMPUTING,0.00044167864332485355
165,n_companies_RETAIL,0.00043004776817812953
166,n_companies_CHEMICALS,0.000404656388690298
167,overall_winner_complete_college,0.0004022365759001157
168,expen_prom_veg_pro,0.00039384926149297337
169,overall_winner_agriculture_job,0.00038992842285871153
170,n_jobs_RESEARCH AND DEVELOPMENT,0.000345558991620367
171,n_jobs_TRANSPORTATION,0.00033205949939364525
172,n_companies_RESEARCH AND DEVELOPMENT,0.00030232796843236064
173,n_companies_RECYCLING,0.00025264250975581733
174,n_jobs_DOMESTIC SERVICES,0.00023886559271519281
175,n_jobs_LEATHERS AND FOOTWEAR,0.00020151883359271022
176,n_jobs_OIL AND GAS,0.00017305902491477967
177,expen_env_man,9.629392351888828e-05
178,n_jobs_WOOD PROD,7.752585487606004e-05
196,special,0.0
192,n_companies_,0.0
193,expen_min_fuel,0.0
194,overall_winner_mining_job,0.0
195,n_jobs_,0.0
190,expen_agr_defense,0.0
197,assassination_attempt,0.0
198,expen_mining,0.0
199,emiss_pec_full,0.0
200,expen_petrol,0.0
201,illegal_other,0.0
191,mangrove,0.0
202,expen_other_agr,0.0
189,bolsonaro,0.0
188,other_perennial,0.0
187,citrus,0.0
186,coffee,0.0
185,rice,0.0
184,new_forest_code,0.0
183,mining,0.0
182,silvicultura,0.0
181,sugarcane,0.0
180,urban,0.0
179,temer,0.0
203,overall_winner_partido_PL,0.0
