Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,BELO HORIZONTE,PSB,40,CÉLIO DE CASTRO,"686,378",Eleito,54.944,PSB / PT / PPS / PC do B / PCB / PTN / PSC / PT do B / PAN,
Prefeito,SP,SAO PAULO,PP,11,PAULO SALIM MALUF,"2,303,508",Não eleito,41.494,(sem coligação),
Prefeito,MG,CONTAGEM,PSDB,45,ADEMIR LUCAS GOMES,"168,553",Eleito,58.884,PSDC / PAN / PSDB / PSD,
Prefeito,MG,CONTAGEM,PMDB,15,PAULO AUGUSTO PINTO DE MATTOS,"117,693",Não eleito,41.116,PC do B / PRONA / PMDB / PL / PRP / PSB / PGT / PHS / PMN / PST / PSL / PPS / PTB / PRTB / PRN / PT do B / PSC,
Prefeito,MG,JUIZ DE FORA,PFL,25,CARLOS ALBERTO BEJANI,"115,916",Não eleito,45.404,PFL / PL / PGT / PRP / PSD / PAN / PSL / PT do B / PRTB / PST / PHS / PMN,
Prefeito,MG,JUIZ DE FORA,PMDB,15,RAYMUNDO TARCISIO DELGADO,"139,384",Eleito,54.596,PMDB / PPB / PPS / PTB / PSC / PSDC,
Prefeito,MG,UBERLANDIA,PP,11,LUIZ HUMBERTO CARNEIRO,"104,595",Não eleito,40.702,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC,
Prefeito,MG,UBERLANDIA,PMDB,15,ZAIRE REZENDE,"152,381",Eleito,59.298,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST,
Prefeito,PA,BELEM,PSD,41,DUCIOMAR GOMES DA COSTA,"316,279",Não eleito,49.252,PSD / PL / PDT / PV,
Prefeito,PA,BELEM,PT,13,EDMILSON BRITO RODRIGUES,"325,883",Eleito,50.748,PT / PSB / PPS / PC do B / PCB,
Prefeito,AL,MACEIO,PSB,40,KÁTIA BORN RIBEIRO,"170,073",Eleito,61.258,PSB / PSDB / PAN / PSDC / PRONA / PST / PT do B / PHS / PRP / PSC / PSD / PTN,
Prefeito,AL,MACEIO,PPS,23,JOSÉ REGIS BARROS CAVALCANTE,"107,560",Não eleito,38.742,PPS / PDT / PMDB / PSL,
Prefeito,AM,MANAUS,PL,22,ALFREDO PEREIRA DO NASCIMENTO,"319,987",Eleito,50.783,PFL / PTB / PL / PHS / PSDC / PST / PSC / PT do B / PRTB / PAN,
Prefeito,AM,MANAUS,PPS,23,CARLOS EDUARDO DE SOUZA BRAGA,"310,119",Não eleito,49.217,PPS / PRP / PPB / PSL / PMN / PSD / PRONA / PV / PTN,
Prefeito,CE,FORTALEZA,PC do B,65,INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA,"437,271",Não eleito,46.032,PC do B / PT / PDT / PSB / PCB,
Prefeito,CE,FORTALEZA,PMDB,15,JURACI VIEIRA DE MAGALHÃES,"512,655",Eleito,53.968,PMDB / PAN / PL / PST / PMN / PRTB / PSDC / PSL,
Prefeito,GO,GOIANIA,PTB,14,DARCI ACCORSI,"233,958",Não eleito,44.235,PTB / PFL / PST / PSD / PPB,
Prefeito,GO,GOIANIA,PT,13,PEDRO WILSON GUIMARAES,"294,935",Eleito,55.765,PT / PC do B / PPS / PV / PMN,
Prefeito,PE,JABOATAO,PSC,20,FERNANDO ANTONIO RODOVALHO,"141,813",Eleito,62.752,PSC / PMN / PAN / PL / PRTB / PSL / PRP / PTN / PT do B,
Prefeito,PE,JABOATAO,PSDB,45,ULISSES TENÓRIO DE ALBUQUERQUE NETO,"84,177",Não eleito,37.248,PSDC / PFL / PSDB / PRN,
Prefeito,PE,OLINDA,PC do B,65,LUCIANA BARBOSA DE OLIVEIRA SANTOS,"107,739",Eleito,52.336,PC do B / PT / PSB / PGT / PHS / PCB,
Prefeito,PE,OLINDA,PMDB,15,MARIA JACILDA GODOI URQUISA,"98,122",Não eleito,47.664,PMDB / PSD / PFL / PMN / PTN / PPB / PSDC / PTB / PST / PL,
Prefeito,PE,RECIFE,PT,13,JOÃO PAULO LIMA E SILVA,"382,988",Eleito,50.384,PT / PGT / PCB / PC do B,
Prefeito,PE,RECIFE,PFL,25,ROBERTO MAGALHÃES MELO,"377,153",Não eleito,49.616,PPB / PMDB / PSDB / PRTB / PSC / PSL / PFL / PSD / PV / PST / PSDC / PRP / PTN,
Prefeito,PR,CURITIBA,PT,13,ANGELO CARLOS VANHONI,"436,270",Não eleito,48.524,PC do B / PCB / PHS / PMN / PPS / PT / PV,
Prefeito,PR,CURITIBA,PFL,25,CASSIO TANIGUCHI,"462,811",Eleito,51.476,PFL / PL / PPB / PRN / PRP / PSB / PSC / PSD / PSL / PST / PT do B / PTB / PTN,
Prefeito,PR,LONDRINA,PDT,12,HOMERO BARBOSA NETO,"85,744",Não eleito,35.855,PPB / PDT / PRTB / PSC,
Prefeito,PR,LONDRINA,PT,13,NEDSON LUIZ MICHELETI,"153,400",Eleito,64.145,PT / PPS / PC do B / PAN,
Prefeito,PR,MARINGA,PT,13,JOSÉ CLAUDIO PEREIRA NETO,"107,320",Eleito,69.698,(sem coligação),
Prefeito,PR,MARINGA,PTB,14,MANOEL BATISTA DA SILVA JUNIOR,"46,659",Não eleito,30.302,PTB / PDT,
Prefeito,RJ,BELFORD ROXO,PSDB,45,MARIA LUCIA NETTO DOS SANTOS,"79,502",Não eleito,43.029,PSDB / PPB / PMDB / PFL / PV / PTN / PHS / PSL / PGT / PRONA / PSC / PSD / PL / PSDC / PT do B / PRTB / PRP / PAN,
Prefeito,RJ,BELFORD ROXO,PPS,23,WALDIR CAMILO DOS SANTOS,"105,263",Eleito,56.971,PPS / PTB / PRN / PMN / PST,
Prefeito,RJ,NITEROI,PDT,12,JORGE ROBERTO SAAD SILVEIRA,"166,028",Eleito,57.695,PDT / PT / PSB / PT do B / PC do B / PV,
Prefeito,RJ,NITEROI,PMDB,15,SÉRGIO ZVEITER,"121,741",Não eleito,42.305,PMDB / PFL / PSD / PSDC / PPS / PSC,
Prefeito,RJ,RIO DE JANEIRO,PTB,14,CESAR EPITACIO MAIA,"1,610,176",Eleito,51.06,PTB / PL / PPS / PRTB / PTN / PRN / PAN / PMN / PSL / PGT,
Prefeito,RJ,RIO DE JANEIRO,PFL,25,LUIZ PAULO FERNANDEZ CONDE,"1,543,327",Não eleito,48.94,PFL / PMDB / PSC / PSD,
Prefeito,RJ,SAO GONCALO,PDT,12,EDSON EZEQUIEL DE MATOS,"186,837",Não eleito,43.407,PDT / PSB / PC do B / PMN / PRTB / PAN / PRONA / PL / PSC / PST / PFL / PGT / PRP / PRN / PV / PSL / PTN / PTB,
Prefeito,RJ,SAO GONCALO,PMDB,15,HENRY CHARLES ARMOND CALVERT,"243,590",Eleito,56.593,PMDB / PPB / PSDC,
Prefeito,RS,CANOAS,PT,13,MARCO AURELIO SPALL MAIA,"84,241",Não eleito,49.419,(sem coligação),
Prefeito,RS,CANOAS,PSDB,45,MARCOS ANTONIO RONCHETTI,"86,223",Eleito,50.581,PTB / PFL / PSDB / PHS,
Prefeito,RS,CAXIAS DO SUL,PT,13,GILBERTO JOSÉ SPIER VARGAS,"103,015",Eleito,50.201,PT / PSB / PC do B / PPS / PV,
Prefeito,RS,CAXIAS DO SUL,PMDB,15,JOSÉ IVO SARTORI,"102,191",Não eleito,49.799,PMDB / PPB,
Prefeito,RS,PELOTAS,PT,13,FERNANDO STEPHAN MARRONI,"94,953",Eleito,52.936,PT / PSB / PC do B / PCB,
Prefeito,RS,PELOTAS,PP,11,LEILA MARIA WULFF FETTER,"84,420",Não eleito,47.064,PPB / PFL / PTB / PL,
Prefeito,RS,PORTO ALEGRE,PDT,12,ALCEU DE DEUS COLLARES,"282,575",Não eleito,36.492,PDT / PTB / PTN / PMN,
Prefeito,RS,PORTO ALEGRE,PT,13,TARSO FERNANDO HERZ GENRO,"491,775",Eleito,63.508,PT / PCB / PSB / PC do B,
Prefeito,SP,CAMPINAS,PT,13,ANTONIO DA COSTA SANTOS,"290,132",Eleito,59.787,PT / PSTU,
Prefeito,SP,CAMPINAS,PSDB,45,CARLOS HENRIQUE FOCESI SAMPAIO,"195,143",Não eleito,40.213,(sem coligação),
Prefeito,SP,DIADEMA,PPS,23,JOSÉ AUGUSTO DA SILVA RAMOS,"91,951",Não eleito,47.447,PPS / PDT / PST / PRP / PSC,
Prefeito,SP,DIADEMA,PT,13,JOSÉ DE FILIPPI JUNIOR,"101,846",Eleito,52.553,PT / PSTU / PC do B,
Prefeito,SP,GUARULHOS,PT,13,ELOI ALFREDO PIETÁ,"213,838",Eleito,50.13,PT / PSTU / PSB / PC do B,
Prefeito,SP,GUARULHOS,PV,43,JOVINO CÂNDIDO DA SILVA,"212,731",Não eleito,49.87,PDT / PL / PSDC / PV / PSDB,
Prefeito,SP,MAUA,PSDB,45,LEONEL DAMO,"87,653",Não eleito,46.851,PAN / PFL / PPS / PRP / PRTB / PSB / PSDB,
Prefeito,SP,MAUA,PT,13,OSWALDO DIAS,"99,436",Eleito,53.149,PC do B / PHS / PMDB / PSD / PSL / PT / PV,
Prefeito,SP,MOGI DAS CRUZES,PMDB,15,FRANCISCO MOACIR BEZERRA DE MELO FILHO,"71,525",Não eleito,44.114,PDT / PMDB / PSD / PRP,
