Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,BA,GUARATINGA,PSC,20,EDIRAN FERREIRA COSTA,"2,309",Não eleito,24.46,(sem coligação),
Prefeito,BA,GUARATINGA,PFL,25,JESUS DE ALMEIDA MOURA,"1,375",Não eleito,14.566,(sem coligação),
Prefeito,BA,GUARATINGA,PL,22,JORGE COSTA SANTOS,"1,379",Não eleito,14.608,(sem coligação),
Prefeito,BA,GUARATINGA,PC do B,65,JOSUE BATISTA DE CARVALHO,69,Não eleito,0.731,(sem coligação),
Prefeito,BA,GUARATINGA,PPS,23,MANOEL PORTO MARTINS,"3,274",Eleito,34.682,(sem coligação),
Prefeito,BA,GUARATINGA,PSDB,45,MARILIA MOURA DE ALMEIDA,244,Não eleito,2.585,(sem coligação),
Prefeito,BA,GUARATINGA,PMN,33,VALDIONOR ALVES DA SILVA,220,Não eleito,2.331,(sem coligação),
Prefeito,BA,HELIOPOLIS,PSB,40,AROALDO BARBOSA DE ANDRADE,"3,124",Eleito,51.146,(sem coligação),
Prefeito,BA,HELIOPOLIS,PSDB,45,ERALDO CARDOSO DE MESSIAS,11,Não eleito,0.18,(sem coligação),
Prefeito,BA,HELIOPOLIS,PTB,14,ILDEFONSO ANDRADE FONSECA,"2,963",Não eleito,48.51,(sem coligação),
Prefeito,BA,HELIOPOLIS,PFL,25,JOSE ROSARIO FILHO,10,Não eleito,0.164,(sem coligação),
Prefeito,BA,DARIO MEIRA,PL,22,CARLOS OLYMPIO PINTO DE AZEVEDO NETO,"1,153",Eleito,26.839,(sem coligação),
Prefeito,BA,DARIO MEIRA,PSL,17,CELIO MARTINS DE FARIAS,874,Não eleito,20.345,(sem coligação),
Prefeito,BA,DARIO MEIRA,PSC,20,JOSE COSTA SANTANA,875,Não eleito,20.368,(sem coligação),
Prefeito,BA,ENCRUZILHADA,PTB,14,ANTONIO COSME SILVA,"5,041",Eleito,62.043,(sem coligação),
Prefeito,BA,ENCRUZILHADA,PPB,11,LUIZ DE CARVALHO E SILVA,"3,084",Não eleito,37.957,(sem coligação),
Prefeito,BA,IBIPEBA,PFL,25,AILTON SOARES,"3,708",Não eleito,44.206,(sem coligação),
Prefeito,BA,IBIPEBA,PDT,12,JOVINO SOARES BARRETO,"4,680",Eleito,55.794,(sem coligação),
Prefeito,BA,EUCLIDES DA CUNHA,PFL,25,ATAYDE JOSE DA SILVA,"11,858",Eleito,52.1,(sem coligação),
Prefeito,BA,EUCLIDES DA CUNHA,PTB,14,LINO WANDERLEY DE AQUINO,189,Não eleito,0.83,(sem coligação),
Prefeito,BA,EUCLIDES DA CUNHA,PMDB,15,ROSANGELA LEMOS MAIA DE ABREU,"10,713",Não eleito,47.069,(sem coligação),
Prefeito,BA,FORMOSA DO RIO PRETO,PL,22,DONADSON ARAUJO DE AZEVEDO,"3,200",Não eleito,44.83,(sem coligação),
Prefeito,BA,FORMOSA DO RIO PRETO,PFL,25,PEDRO GUEDES FILHO,"3,938",Eleito,55.17,(sem coligação),
Prefeito,BA,GLORIA,PMDB,15,DILZA SOARES DA SILVA,83,Não eleito,1.266,(sem coligação),
Prefeito,BA,GLORIA,PT,13,NILDO JOSE DA SILVA,"2,775",Não eleito,42.341,(sem coligação),
