Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,AGUA COMPRIDA,PL,22,JOAO ANIVALDO OLIVEIRA,"1,007",Eleito,56.51,PT / PL,
Prefeito,MG,AGUA COMPRIDA,PFL,25,JOSE OSCAR SILVA,775,Não eleito,43.49,PMDB / PFL,
Prefeito,MG,AGUAS VERMELHAS,PSDB,45,ROSA NIZIA ANTUNES SPOSITO BRITO,"3,367",Eleito,50.231,PDT / PTB / PMDB / PSC / PSDB,
Prefeito,MG,AGUAS VERMELHAS,PL,22,VALDECY JOSE DE SOUZA,"3,336",Não eleito,49.769,PP / PT / PL / PFL / PMN,
Prefeito,MG,ALAGOA,PFL,25,ELIAS JOSE DA FONSECA,"1,138",Eleito,56.985,PTB / PL / PFL,
Prefeito,MG,ALAGOA,PSDB,45,PEDRO RIBEIRO DA FONSECA,859,Não eleito,43.015,PDT / PMDB / PSDB,
Prefeito,MG,ACUCENA,PT,13,ADEMIR JOSE SIMAN,"4,365",Eleito,72.28,PP / PT / PPS / PMN / PSDB,
Prefeito,MG,ACUCENA,PMDB,15,FRANCISCO DE ASSIS,"1,674",Não eleito,27.72,PDT / PTB / PMDB / PSC / PL / PFL / PTC,
Prefeito,MG,AGUANIL,PFL,25,ELIAS ASSAD ABRÃO,"1,265",Não eleito,48.062,PFL / PL / PTB,
Prefeito,MG,AGUANIL,PT,13,MARDEM FRANCISCO ALVES SILVA,84,Não eleito,3.191,(sem coligação),
Prefeito,MG,AGUANIL,PSDB,45,SEBASTIAO ELOI DE SOUZA CAMPOS,"1,283",Eleito,48.746,(sem coligação),
Prefeito,MG,ALMENARA,PPS,23,CARLOS LUIZ DE NOVAES,"10,744",Eleito,55.282,PTB / PSL / PL / PPS / PSDC / PSDB,
Prefeito,MG,ALMENARA,PMDB,15,MANOEL FRANCISCO ALVES SILVA,"8,352",Não eleito,42.974,PP / PDT / PMDB / PSC / PFL / PHS / PMN,
Prefeito,MG,ALMENARA,PT,13,REGINA APARECIDA NEDER PINHEIRO DAMASCENO,339,Não eleito,1.744,(sem coligação),
Prefeito,MG,ALPINOPOLIS,PMDB,15,CASSIANO JOSÉ LEMOS,"3,878",Não eleito,35.941,PP / PDT / PTB / PMDB / PSC / PPS,
Prefeito,MG,ALPINOPOLIS,PFL,25,EDSON LUIZ REZENDE REIS,"5,713",Eleito,52.947,PL / PFL / PTC / PSB / PSDB,
Prefeito,MG,ALPINOPOLIS,PT,13,MARCELO DOMINGOS FERREIRA,"1,199",Não eleito,11.112,(sem coligação),
Prefeito,MG,ALTO CAPARAO,PTB,14,GENIS DE ARAUJO,399,Não eleito,12.984,(sem coligação),
Prefeito,MG,ALTO CAPARAO,PSDB,45,JOSE JACOMEL JUNIOR,"2,233",Eleito,72.665,PT / PPS / PFL / PSDB,
Prefeito,MG,ALTO CAPARAO,PDT,12,RONALD SANTOS GRIPP,441,Não eleito,14.351,(sem coligação),
Prefeito,MG,ALBERTINA,PTB,14,NOEMI SIMIONATTO GUINESI,"1,195",Eleito,62.207,PTB / PPS / PFL / PHS / PSDB,
Prefeito,MG,ALBERTINA,PMDB,15,OLIVALDO TEIXEIRA,726,Não eleito,37.793,PMDB / PL,
Prefeito,MG,ABRE CAMPO,PMDB,15,DAVIS ANTONIO CARDOSO JUNIOR,"3,271",Eleito,39.343,PDT / PMDB / PFL / PRTB,
Prefeito,MG,ABRE CAMPO,PP,11,FERNANDO MENDES QUINTÃO,"2,237",Não eleito,26.906,PP / PT / PSC / PMN / PT do B,
Prefeito,MG,ABRE CAMPO,PTB,14,JOSE CLAUDIO CHAVES BRANDAO,"1,519",Não eleito,18.27,PTB / PPS / PSDB,
Prefeito,MG,ABRE CAMPO,PHS,31,RUBENS VITOR DE OLIVEIRA,"1,287",Não eleito,15.48,(sem coligação),
Prefeito,MG,AGUAS FORMOSAS,PT,13,JOSE DUARTE FERREIRA,686,Não eleito,7.108,(sem coligação),
Prefeito,MG,AGUAS FORMOSAS,PFL,25,JOSE HENRIQUE BRITO,"4,012",Não eleito,41.571,PFL / PSB / PL / PSDB / PPS / PTB,
Prefeito,MG,AGUAS FORMOSAS,PMDB,15,WELLINGTON LUZ ABRANTES,"4,953",Eleito,51.321,PMDB / PDT / PSC / PV / PC do B,
Prefeito,MG,AIMORES,PT,13,EDUARDO DE  OLIVEIRA  NETO,572,Não eleito,3.665,(sem coligação),
Prefeito,MG,AIMORES,PMDB,15,GILBERTO PAULO DE SOUZA,"5,578",Não eleito,35.738,(sem coligação),
Prefeito,MG,AIMORES,PL,22,NILTON FREIRE SAMPAIO,"9,458",Eleito,60.597,PL / PFL,
Prefeito,MG,ALFENAS,PMDB,15,HESSE LUIZ PEREIRA,"9,632",Não eleito,25.586,PP / PMDB / PFL / PHS / PSDB,
Prefeito,MG,ALFENAS,PPS,23,MARCOS JOSÉ DUARTE DIAS,"13,819",Não eleito,36.708,PTB / PPS / PRTB / PV,
Prefeito,MG,ALFENAS,PT,13,POMPÍLIO DE LOURDES CANAVEZ,"14,195",Eleito,37.707,PT / PL / PMN / PC do B,
Prefeito,MG,ALTO RIO DOCE,PL,22,ARAKEN MENDES MARINHO,"4,042",Não eleito,49.577,PMDB / PL,
Prefeito,MG,ALTO RIO DOCE,PSDB,45,WILSON TEIXEIRA GONÇALVES FILHO,"4,111",Eleito,50.423,PFL / PRTB / PSDB,
Prefeito,MG,ALVINOPOLIS,PTB,14,ADAYR ALVES ROLA,"4,476",Não eleito,44.055,PTB / PSL / PL / PFL,
Prefeito,MG,ALVINOPOLIS,PMDB,15,MILTON AYRES DE FIGUEIREDO,"5,684",Eleito,55.945,PDT / PT / PMDB / PSDB,
Prefeito,MG,ALEM PARAIBA,PL,22,JOSE REINALDO DUTRA PACHECO,"1,144",Não eleito,5.361,(sem coligação),
Prefeito,MG,ALEM PARAIBA,PSB,40,MIGUEL BELMIRO DE SOUZA,"8,822",Não eleito,41.342,PDT / PT / PTB / PTN / PSC / PFL / PRTB / PMN / PTC / PSB / PT do B,
Prefeito,MG,ALEM PARAIBA,PMDB,15,SERGIO ANTONIO RIBEIRO FERREIRA,"11,373",Eleito,53.297,PMDB / PHS / PV / PSDB / PC do B,
Prefeito,MG,AGUA BOA,PSDB,45,CARLOS MAGNO FERREIRA,"3,605",Não eleito,44.855,PTB / PSL / PSDC / PSB / PSDB,
Prefeito,MG,AGUA BOA,PPS,23,ELIMARCIUS LACERDA COSTA,"4,328",Eleito,53.851,PDT / PMDB / PL / PPS / PFL,
Prefeito,MG,AGUA BOA,PC do B,65,IDELSON BATISTA RIBEIRO,104,Não eleito,1.294,(sem coligação),
Prefeito,MG,ALTEROSA,PT,13,DIMAS DOS REIS RIBEIRO,"4,268",Eleito,51.329,PT / PTB / PMDB / PPS / PDT,
Prefeito,MG,ALTEROSA,PFL,25,REINALDO CÉSAR TERRA,"4,047",Não eleito,48.671,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PTB,14,MÁRCIO ANTÔNIO ARMOND DE SOUZA,606,Não eleito,16.494,PTB / PT,
Prefeito,MG,ALFREDO VASCONCELOS,PP,11,OLACIR ELY DA SILVA,"2,134",Eleito,58.084,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PPS,23,PEDRO MARCIANO DA SILVA,934,Não eleito,25.422,(sem coligação),
Prefeito,MG,ALPERCATA,PSDB,45,ADAIR MARQUES DA SILVA,"1,791",Não eleito,44.753,PP / PT / PSC / PL / PPS / PFL / PSB / PV / PSDB,
Prefeito,MG,ALVARENGA,PT,13,HOMERO JOÃO PEIXOTO DE FREITAS,"1,586",Não eleito,49.485,PT / PV,
Prefeito,MG,ALVARENGA,PL,22,JOSE PEDRO DE OLIVEIRA,"1,619",Eleito,50.515,PP / PDT / PTB / PMDB / PL,
Prefeito,MG,ABADIA DOS DOURADOS,PL,22,ADILBERTO RAMOS DE MOURA,"2,086",Não eleito,45.015,PT / PL / PFL,
Prefeito,MG,ABADIA DOS DOURADOS,PTB,14,ISVALDINO DE ASSUNÇÃO,"2,548",Eleito,54.985,PTB / PMDB / PSDB,
