Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,PE,JABOATAO,PSDC,27,NEWTON D'EMERY CARNEIRO,"173,109",Eleito,66.238,(sem coligação),
Prefeito,PI,TERESINA,PMDB,15,ADALGISA CARVALHO DE MORAES SOUZA,"145,280",Não eleito,41.515,PP / PMDB / PSDC,
Prefeito,PI,TERESINA,PSDB,45,SILVIO MENDES DE OLIVEIRA FILHO,"204,662",Eleito,58.485,PTB / PL / PTC / PV / PSDB,
Prefeito,PR,CURITIBA,PT,13,ANGELO CARLOS VANHONI,"408,163",Não eleito,45.221,PT / PTB / PMDB / PSC / PCB / PC do B,
Prefeito,PR,CURITIBA,PSDB,45,CARLOS ALBERTO RICHA,"494,440",Eleito,54.779,PSDB / PSB / PDT / PP / PAN / PTN / PRONA / PSL,
Prefeito,PR,LONDRINA,PSL,17,ANTONIO CASEMIRO BELINATI,"121,102",Não eleito,46.752,PSL / PP,
Prefeito,PR,LONDRINA,PT,13,NEDSON LUIZ MICHELETI,"137,928",Eleito,53.248,PT / PTN / PSC / PCB / PL / PAN / PHS / PC do B,
Prefeito,PR,MARINGA,PT,13,JOÃO IVO CALEFFI,"79,983",Não eleito,46.492,PT / PHS / PC do B,
Prefeito,PR,MARINGA,PP,11,SILVIO MAGALHÃES BARROS II,"92,052",Eleito,53.508,PP / PDT / PRTB / PSDB,
Prefeito,PR,PONTA GROSSA,PSDB,45,PEDRO WOSGRAU FILHO,"87,291",Eleito,51.778,PFL / PTC / PSDB,
Prefeito,PR,PONTA GROSSA,PT,13,PERICLES DE HOLLEBEN MELLO,"81,296",Não eleito,48.222,PDT / PT / PTB / PMDB / PSL / PTN / PCB / PSDC / PRTB / PMN / PSB / PV / PRP / PC do B / PT do B,
Prefeito,RJ,CAMPOS,PDT,12,CARLOS ALBERTO TAVARES CAMPISTA,"131,363",Eleito,54.582,PDT / PSL / PCB / PRP / PRONA / PT do B,
Prefeito,RJ,CAMPOS,PMDB,15,GERALDO ROBERTO SIQUEIRA DE SOUZA,"109,309",Não eleito,45.418,PMDB / PP / PSC / PL / PPS / PAN / PSDC / PRTB / PMN / PTC / PSB / PC do B,
Prefeito,RJ,DUQUE DE CAXIAS,PDT,12,LAURY DE SOUZA VILLAR,"204,570",Não eleito,48.092,PP / PDT / PTN / PAN / PV / PSDB / PT do B,
