ano,turno,tipo_eleicao,sigla_uf,id_municipio,cargo,numero_candidato,sequencial_candidato,resultado,sigla_partido,id_municipio_tse,id_candidato_bd,votos
2016,1,eleicao ordinaria,CE,2304103,prefeito,55,60000005000,nao eleito,PSD,13838,0.0,4911
2016,1,eleicao ordinaria,CE,2304103,prefeito,77,60000013441,eleito,SD,13838,0.0,21064
2016,1,eleicao ordinaria,CE,2304202,prefeito,11,60000014283,eleito,PP,13854,0.0,37740
2016,1,eleicao ordinaria,CE,2304202,prefeito,45,60000010068,nao eleito,PSDB,13854,0.0,24643
2016,1,eleicao ordinaria,CE,2304202,prefeito,65,60000014151,nao eleito,PC do B,13854,0.0,1819
2016,1,eleicao ordinaria,CE,2304236,prefeito,12,60000013878,eleito,PDT,15881,0.0,5058
2016,1,eleicao ordinaria,CE,2304236,prefeito,15,60000012226,nao eleito,PMDB,15881,0.0,5045
2016,1,eleicao ordinaria,CE,2304251,prefeito,13,60000006366,nao eleito,PT,15890,0.0,7544
2016,1,eleicao ordinaria,CE,2304251,prefeito,45,60000003287,eleito,PSDB,15890,0.0,8777
2016,1,eleicao ordinaria,CE,2304269,prefeito,13,60000010360,nao eleito,PT,15989,0.0,1549
2016,1,eleicao ordinaria,CE,2304269,prefeito,45,60000008076,eleito,PSDB,15989,0.0,4035
2016,1,eleicao ordinaria,CE,2304277,prefeito,11,60000007093,eleito,PP,13200,0.0,2276
2016,1,eleicao ordinaria,CE,2304277,prefeito,12,60000013325,nao eleito,PDT,13200,0.0,2048
2016,1,eleicao ordinaria,CE,2304285,prefeito,22,60000005744,nao eleito,PR,13226,0.0,5723
2016,1,eleicao ordinaria,CE,2304285,prefeito,51,60000003942,eleito,PEN,13226,0.0,25861
2016,1,eleicao ordinaria,CE,2304285,prefeito,65,60000013447,nao eleito,PC do B,13226,0.0,265
2016,1,eleicao ordinaria,CE,2304301,prefeito,51,60000003882,nao eleito,PEN,13870,0.0,4512
2016,1,eleicao ordinaria,CE,2304301,prefeito,65,60000002091,eleito,PC do B,13870,0.0,7639
2016,1,eleicao ordinaria,CE,2304350,prefeito,12,60000007320,nao eleito,PDT,15911,0.0,6806
2016,1,eleicao ordinaria,CE,2304350,prefeito,13,60000007128,eleito,PT,15911,0.0,8144
2016,1,eleicao ordinaria,CE,2304400,prefeito,10,60000001717,nao eleito,PRB,180661,0.0,51687
2016,1,eleicao ordinaria,CE,2304400,prefeito,12,60000001319,2o turno,PDT,180661,0.0,524973
2016,1,eleicao ordinaria,CE,2304400,prefeito,13,60000014561,nao eleito,PT,180661,0.0,193687
2016,1,eleicao ordinaria,CE,2304400,prefeito,16,60000012936,nao eleito,PSTU,180661,0.0,2187
2016,1,eleicao ordinaria,CE,2304400,prefeito,22,60000001952,2o turno,PR,180661,0.0,400802
2016,1,eleicao ordinaria,CE,2304400,prefeito,31,60000002501,nao eleito,PHS,180661,0.0,4616
2016,1,eleicao ordinaria,CE,2304400,prefeito,40,60000002482,nao eleito,PSB,180661,0.0,90510
2016,1,eleicao ordinaria,CE,2304400,prefeito,50,60000008388,nao eleito,PSOL,180661,0.0,18048
2016,1,eleicao ordinaria,CE,2304459,prefeito,15,60000001821,eleito,PMDB,13501,0.0,7318
2016,1,eleicao ordinaria,CE,2304459,prefeito,35,60000009771,nao eleito,PMB,13501,0.0,4379
2016,1,eleicao ordinaria,CE,2304509,prefeito,11,60000004133,eleito,PP,13919,0.0,4929
2016,1,eleicao ordinaria,CE,2304509,prefeito,12,60000004309,nao eleito,PDT,13919,0.0,4803
2016,1,eleicao ordinaria,CE,2304608,prefeito,11,60000009979,nao eleito,PP,13935,0.0,2742
2016,1,eleicao ordinaria,CE,2304608,prefeito,12,60000010109,eleito,PDT,13935,0.0,3813
2016,1,eleicao ordinaria,CE,2304657,prefeito,12,60000015508,nao eleito,PDT,13064,0.0,4428
2016,1,eleicao ordinaria,CE,2304657,prefeito,65,60000014969,eleito,PC do B,13064,0.0,4626
2016,1,eleicao ordinaria,CE,2304707,prefeito,12,60000017226,eleito,PDT,13951,0.0,20972
2016,1,eleicao ordinaria,CE,2304707,prefeito,55,60000009499,nao eleito,PSD,13951,0.0,10522
2016,1,eleicao ordinaria,CE,2304707,prefeito,77,60000002046,nao eleito,SD,13951,0.0,607
2016,1,eleicao ordinaria,CE,2304806,prefeito,10,60000007231,nao eleito,PRB,13978,0.0,2143
2016,1,eleicao ordinaria,CE,2304806,prefeito,55,60000005305,eleito,PSD,13978,0.0,2358
2016,1,eleicao ordinaria,CE,2304905,prefeito,13,60000014659,nao eleito,PT,13994,0.0,3224
2016,1,eleicao ordinaria,CE,2304905,prefeito,23,60000008865,eleito,PPS,13994,0.0,3925
2016,1,eleicao ordinaria,CE,2304954,prefeito,12,60000009375,nao eleito,PDT,13242,0.0,7163
2016,1,eleicao ordinaria,CE,2304954,prefeito,22,60000001995,eleito,PR,13242,0.0,8725
2016,1,eleicao ordinaria,CE,2305001,prefeito,12,60000010860,nao eleito,PDT,14010,0.0,7559
2016,1,eleicao ordinaria,CE,2305001,prefeito,15,60000006059,eleito,PMDB,14010,0.0,15870
2016,1,eleicao ordinaria,CE,2305100,prefeito,11,60000007094,nao eleito,PP,14036,0.0,307
2016,1,eleicao ordinaria,CE,2305100,prefeito,12,60000008827,eleito,PDT,14036,0.0,2264
2016,1,eleicao ordinaria,CE,2305100,prefeito,22,60000014254,nao eleito,PR,14036,0.0,2230
2016,1,eleicao ordinaria,CE,2305209,prefeito,12,60000008811,eleito,PDT,14052,0.0,7001
2016,1,eleicao ordinaria,CE,2305209,prefeito,14,60000014020,nao eleito,PTB,14052,0.0,5859
2016,1,eleicao ordinaria,CE,2305233,prefeito,13,60000002195,nao eleito,PT,13188,0.0,1035
2016,1,eleicao ordinaria,CE,2305233,prefeito,14,60000010039,nao eleito,PTB,13188,0.0,10993
2016,1,eleicao ordinaria,CE,2305233,prefeito,45,60000001705,eleito,PSDB,13188,0.0,29902
2016,1,eleicao ordinaria,CE,2305233,prefeito,50,60000006829,nao eleito,PSOL,13188,0.0,259
2016,1,eleicao ordinaria,CE,2305266,prefeito,15,60000003291,eleito,PMDB,14060,0.0,6066
2016,1,eleicao ordinaria,CE,2305266,prefeito,55,60000013926,nao eleito,PSD,14060,0.0,3884
2016,1,eleicao ordinaria,CE,2305308,prefeito,14,60000012185,nao eleito,PTB,14079,0.0,5318
2016,1,eleicao ordinaria,CE,2305308,prefeito,22,60000002273,eleito,PR,14079,0.0,7964
2016,1,eleicao ordinaria,CE,2305332,prefeito,11,60000009321,nao eleito,PP,15920,0.0,5274
2016,1,eleicao ordinaria,CE,2305332,prefeito,12,60000006013,eleito,PDT,15920,0.0,5428
2016,1,eleicao ordinaria,CE,2305357,prefeito,13,60000012055,nao eleito,PT,15938,0.0,5176
2016,1,eleicao ordinaria,CE,2305357,prefeito,15,60000014993,eleito,PMDB,15938,0.0,7263
2016,1,eleicao ordinaria,CE,2305357,prefeito,23,60000012313,nao eleito,PPS,15938,0.0,521
2016,1,eleicao ordinaria,CE,2305357,prefeito,65,60000010948,nao eleito,PC do B,15938,0.0,346
2016,1,eleicao ordinaria,CE,2305407,prefeito,12,60000009578,nao eleito,PDT,14095,0.0,18133
2016,1,eleicao ordinaria,CE,2305407,prefeito,35,60000005661,eleito,PMB,14095,0.0,20398
2016,1,eleicao ordinaria,CE,2305407,prefeito,43,60000007773,nao eleito,PV,14095,0.0,459
2016,1,eleicao ordinaria,CE,2305506,prefeito,12,60000015965,eleito,PDT,14117,0.0,31557
2016,1,eleicao ordinaria,CE,2305506,prefeito,28,60000014109,nao eleito,PRTB,14117,0.0,523
2016,1,eleicao ordinaria,CE,2305506,prefeito,55,60000003230,nao eleito,PSD,14117,0.0,20439
2016,1,eleicao ordinaria,CE,2305605,prefeito,15,60000013035,nao eleito,PMDB,14133,0.0,1954
2016,1,eleicao ordinaria,CE,2305605,prefeito,55,60000004787,eleito,PSD,14133,0.0,8004
2016,1,eleicao ordinaria,CE,2305654,prefeito,13,60000003642,eleito,PT,13340,0.0,4306
2016,1,eleicao ordinaria,CE,2305654,prefeito,15,60000007317,nao eleito,PMDB,13340,0.0,2560
2016,1,eleicao ordinaria,CE,2305654,prefeito,65,60000004808,nao eleito,PC do B,13340,0.0,104
2016,1,eleicao ordinaria,CE,2305704,prefeito,15,60000015345,eleito,PMDB,14150,0.0,4109
2016,1,eleicao ordinaria,CE,2305704,prefeito,55,60000015834,nao eleito,PSD,14150,0.0,3618
2016,1,eleicao ordinaria,CE,2305803,prefeito,12,60000014108,nao eleito,PDT,14176,0.0,11098
2016,1,eleicao ordinaria,CE,2305803,prefeito,40,60000014675,nao eleito,PSB,14176,0.0,99
