,id_candidato_bd,munis
712,879849,['2909406' '2933455']
716,1444220,['2912400' '2914604']
720,1532392,['2614501' '2616183']
722,1569284,['4303509' '4306056']
723,1058268,['3550308' '3551009']
728,332600,['2801306' '2803302']
730,1227535,['2200251' '2206506']
735,591544,['3135209' '3149150']
737,1091220,['5101704' '5106851']
741,1497018,['3543303' '3544103']
743,1019523,['1600055' '1600154']
752,369865,['4307450' '4321907']
753,1751972,['3301702' '3304557']
756,955261,['2304400' '2307700']
758,398602,['5102793' '5106216']
780,1349903,['2905503' '2929800']
786,1624038,['3131802' '3144672']
788,1714154,['5002704' '5005400']
801,1793371,['1100205' '1100809']
802,1417578,['4300877' '4313060']
803,1693553,['4313201' '4314423']
804,227438,['4304358' '4314506']
805,1796883,['3514205' '3535903']
806,960400,['3521903' '3528858']
807,309660,['3508603' '3527207']
811,1795593,['2702553' '2706307']
814,386635,['2104073' '2111573']
816,171080,['3136553' '3158201']
817,770891,['3138104' '3170800']
824,693959,['4302105' '4317251']
847,384138,['4215059' '4218905']
850,843046,['3520301' '3520426']
857,434141,['1301654' '1301803']
884,1524000,['1504455' '1701002']
888,619168,['2311231' '2403301']
913,88288,['2102754' '2103307']
921,259727,['2313757' '2313807']
929,638159,['2304103' '2309409']
