ano,id_municipio,runoff,winner_turno1,winner_turno2,totalvotes_turno1,totalvotes_turno2,margin_turno1,margin_turno2,incumbant,term_limited_seat
2016,4318499,0.0,210000015183,,2024.0,0.0,8.0,0.0,0.0,0.0
2016,4318507,0.0,210000009215,,17265.0,0.0,3424.0,0.0,0.0,0.0
2016,4318606,0.0,210000020768,,2999.0,0.0,2999.0,0.0,0.0,0.0
2016,4318614,0.0,210000023352,,1657.0,0.0,211.0,0.0,0.0,1.0
2016,4318622,0.0,210000028594,,2665.0,0.0,689.0,0.0,0.0,0.0
2016,4318705,0.0,210000024012,,111875.0,0.0,4382.0,0.0,0.0,0.0
2016,4318804,0.0,210000007582,,27842.0,0.0,2632.0,0.0,0.0,0.0
2016,4318903,0.0,210000019034,,19547.0,0.0,2698.0,0.0,0.0,0.0
2016,4319000,0.0,210000010800,,13921.0,0.0,1681.0,0.0,0.0,0.0
2016,4319109,0.0,210000010536,,4252.0,0.0,820.0,0.0,0.0,0.0
2016,4319125,0.0,210000004264,,2576.0,0.0,32.0,0.0,0.0,0.0
2016,4319158,0.0,210000007036,,4921.0,0.0,339.0,0.0,0.0,0.0
2016,4319208,0.0,210000003219,,4006.0,0.0,530.0,0.0,0.0,1.0
2016,4319307,0.0,210000005941,,4648.0,0.0,760.0,0.0,0.0,0.0
2016,4319356,0.0,210000005237,,2663.0,0.0,37.0,0.0,0.0,0.0
2016,4319364,0.0,210000006563,,1158.0,0.0,1158.0,0.0,0.0,0.0
2016,4319372,0.0,210000023925,,2124.0,0.0,90.0,0.0,0.0,0.0
2016,4319406,0.0,210000018752,,10175.0,0.0,3883.0,0.0,0.0,1.0
2016,4319505,0.0,210000007267,,15035.0,0.0,2161.0,0.0,0.0,1.0
2016,4319604,0.0,210000010847,,14789.0,0.0,1747.0,0.0,0.0,0.0
2016,4319703,0.0,210000030531,,2738.0,0.0,182.0,0.0,0.0,0.0
2016,4319711,0.0,210000015747,,1926.0,0.0,742.0,0.0,0.0,1.0
2016,4319737,0.0,210000019974,,2020.0,0.0,194.0,0.0,0.0,0.0
2016,4319752,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2016,4319802,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2016,4319901,0.0,210000007424,,49636.0,0.0,1621.0,0.0,0.0,0.0
2016,4320008,0.0,210000003943,,74232.0,0.0,6812.0,0.0,0.0,1.0
2016,4320107,0.0,210000018166,,14682.0,0.0,136.0,0.0,0.0,0.0
2016,4320206,0.0,210000027407,,8050.0,0.0,816.0,0.0,0.0,0.0
2016,4320230,0.0,210000017689,,2336.0,0.0,88.0,0.0,0.0,0.0
2016,4320263,0.0,210000018297,,5021.0,0.0,59.0,0.0,0.0,1.0
2016,4320305,0.0,210000009805,,3828.0,0.0,332.0,0.0,0.0,0.0
2016,4320321,0.0,210000006318,,2420.0,0.0,176.0,0.0,0.0,0.0
2016,4320354,0.0,210000013809,,3412.0,0.0,373.0,0.0,0.0,0.0
2016,4320404,0.0,210000029313,,10124.0,0.0,860.0,0.0,0.0,1.0
2016,4320453,0.0,210000013948,,1845.0,0.0,219.0,0.0,0.0,0.0
2016,4320503,0.0,210000029234,,4659.0,0.0,1103.0,0.0,0.0,0.0
2016,4320552,0.0,210000025323,,4429.0,0.0,863.0,0.0,0.0,1.0
